type,name1,name2,const,linear_1,linear_2,linear_3,linear_4,linear_5,linear_6,linear_7,linear_8,linear_9,linear_10,linear_11,linear_12
linear,Close Hand,Open Hand,8.07718621595511,-3.29049541332601,1.92506618590941,-0.620376924868624,-5.30025075537266,1205.03127551638,-541.80323933186,371.746614776474,1269.7077822253,12.1756779212781,-102.670311979107,-253.879748677791,91.2953397522336
linear,Flex Hand,Open Hand,-85.4656130313245,-3.66201411524029,2.40799512977705,-5.37792144593354,-3.19196165559161,143.496076045784,-709.950506252268,2335.43095363882,871.782766372849,8.69477427299231,301.16479539844,-1885.41172553861,65.0396603143428
linear,Extend Hand,Open Hand,-85.0702114668428,-8.10533702005178,-10.9368023497849,3.86727839269449,-17.0315224517714,3586.09841527726,3855.62058845443,-819.593149068895,4552.01375549687,93.5774172327129,-104.249676094544,696.408516629195,338.254250555581
linear,Pronation,Open Hand,-16.9382162718813,-2.35625627754227,3.20530597165086,2.82916456148797,-16.6545868027354,1305.75676667426,-1133.23460395928,375.917460447275,3767.6008625464,38.5070820063398,77.7966162543602,-1177.83986641614,243.025878846134
linear,Supination,Open Hand,9.2164520154224,-7.28791161646616,-4.64550110395802,1.00769311609612,-11.7764267667777,2165.87935847811,1651.59399177191,218.88118777103,2858.63368449555,8.85397153160155,-60.791561926053,-422.98517166577,223.52573951419
linear,Side Grip,Open Hand,17.798947728026,-3.02460844454545,1.29417845453504,1.91881726808855,-11.726739744858,1039.41434734344,-299.375729866859,33.0499033164837,2918.78865278113,-12.848624946958,28.3513406030846,-470.604899867035,426.823642286063
linear,Fine Grip,Open Hand,14.0617078906465,-3.41513373983737,-0.725215369397247,1.88505742165667,-11.1391002913186,799.453619389639,539.315697330346,9.62818373824226,2723.42228692993,-40.1135592765958,-134.435292601848,219.603622099916,342.001421821202
linear,Agree,Open Hand,8.51900799418451,-1.05335290314597,1.86779278522979,2.44613181417473,-9.82996482784531,686.885762268962,-363.465576755116,-123.388230314258,2304.34532253224,-12.5422787906615,62.2788693546104,828.360208269383,466.325147163992
linear,Pointer,Open Hand,-0.472137830097823,-2.25714537445318,1.22522373357781,2.73713105598131,-7.3885339351791,603.328591759925,-20.1770185237906,-137.632912343447,1524.90159863691,89.2783542945454,67.3704786734687,1195.78724871537,327.373958422938
linear,Open Hand,Close Hand,-8.07718621595511,3.29049541332601,-1.92506618590941,0.620376924868624,5.30025075537266,-1205.03127551638,541.80323933186,-371.746614776474,-1269.7077822253,-12.1756779212781,102.670311979107,253.879748677791,-91.2953397522336
linear,Flex Hand,Close Hand,-93.5427992472796,-0.371518701914286,0.482928943867638,-4.75754452106491,2.10828909978102,-1061.53519947059,-168.147266920407,1963.68433886235,-397.925015852441,-3.48090364828581,403.835107377548,-1631.53197686082,-26.2556794378909
linear,Extend Hand,Close Hand,-93.1473976827979,-4.81484160672578,-12.8618685356943,4.48765531756312,-11.7312716963987,2381.06713976088,4397.42382778629,-1191.33976384537,3282.30597327158,81.4017393114348,-1.57936411543618,950.288265306986,246.958910803347
linear,Pronation,Close Hand,-25.0154024878363,0.934239135783736,1.28023978574144,3.4495414863566,-11.3543360473628,100.725491157884,-591.431364627421,4.17084567079895,2497.89308032111,26.3314040850617,180.466928233468,-923.960117738347,151.7305390939
linear,Supination,Close Hand,1.13926579946728,-3.99741620314016,-6.57056728986743,1.62807004096474,-6.476176011405,960.848082961729,2193.39723110377,-152.865427005443,1588.92590227025,-3.32170638967662,41.8787500530544,-169.105422987979,132.230399761957
linear,Side Grip,Close Hand,9.72176151207091,0.265886968780556,-0.630887731374379,2.53919419295717,-6.42648898948535,-165.616928172944,242.427509465002,-338.696711459989,1649.08087055583,-25.0243028682362,131.021652582192,-216.725151189244,335.52830253383
linear,Fine Grip,Close Hand,5.98452167469136,-0.124638326511366,-2.65028155530666,2.50543434652529,-5.8388495359459,-405.577656126741,1081.11893666221,-362.118431038232,1453.71450470462,-52.2892371978739,-31.7649806227407,473.483370777707,250.706082068969
linear,Agree,Close Hand,0.441821778229401,2.23714251018004,-0.0572734006796228,3.06650873904336,-4.52971407247264,-518.145513247418,178.337662576744,-495.134845090732,1034.63754030694,-24.7179567119397,164.949181333718,1082.23995694717,375.029807411758
linear,Pointer,Close Hand,-8.54932404605292,1.03335003887282,-0.699842452331605,3.35750798084993,-2.08828317980642,-601.702683756454,521.626220808069,-509.37952711992,255.193816411612,77.1026763732673,170.040790652576,1449.66699739316,236.078618670705
linear,Open Hand,Flex Hand,85.4656130313245,3.66201411524029,-2.40799512977705,5.37792144593354,3.19196165559161,-143.496076045784,709.950506252268,-2335.43095363882,-871.782766372849,-8.69477427299231,-301.16479539844,1885.41172553861,-65.0396603143428
linear,Close Hand,Flex Hand,93.5427992472796,0.371518701914286,-0.482928943867638,4.75754452106491,-2.10828909978102,1061.53519947059,168.147266920407,-1963.68433886235,397.925015852441,3.48090364828581,-403.835107377548,1631.53197686082,26.2556794378909
linear,Extend Hand,Flex Hand,0.395401564481681,-4.44332290481149,-13.344797479562,9.24519983862803,-13.8395607961798,3442.60233923147,4565.5710947067,-3155.02410270772,3680.23098912404,84.8826429597207,-405.414471492984,2581.82024216781,273.214590241238
linear,Pronation,Flex Hand,68.5273967594433,1.30575783769802,0.797310841873804,8.20708600742151,-13.4626251471438,1162.26069062848,-423.284097707013,-1959.51349319155,2895.81809617355,29.8123077333475,-223.36817914408,707.571859122476,177.986218531791
linear,Supination,Flex Hand,94.6820650467469,-3.62589750122588,-7.05349623373507,6.38561456202966,-8.58446511118608,2022.38328243232,2361.54449802417,-2116.5497658678,1986.85091812271,0.15919725860928,-361.956357324493,1462.42655387284,158.486079199847
linear,Side Grip,Flex Hand,103.264560759351,0.637405670694839,-1.11381667524201,7.29673871402211,-8.53477808926644,895.918271297652,410.574776385409,-2302.38105032235,2047.00588640829,-21.5433992199502,-272.813454795356,1414.80682567158,361.78398197172
linear,Fine Grip,Flex Hand,99.527320921971,0.246880375402913,-3.1332104991743,7.26297886759022,-7.94713863572695,655.957543343855,1249.26620358261,-2325.80276990059,1851.63952055708,-48.8083335495881,-435.600088000288,2105.01534763853,276.961761506859
linear,Agree,Flex Hand,93.984621025509,2.60866121209432,-0.540202344547259,7.82405326010826,-6.6380031722537,543.389686223177,346.484929497151,-2458.81918395308,1432.56255615939,-21.2370530636538,-238.88592604383,2713.771933808,401.285486849649
linear,Pointer,Flex Hand,84.9934752012267,1.4048687407871,-1.18277139619925,8.11505250191487,-4.19657227958746,459.832515714142,689.773487728479,-2473.06386598228,653.11883226406,80.5835800215531,-233.794316724972,3081.19897425398,262.334298108596
linear,Open Hand,Extend Hand,85.0702114668428,8.10533702005178,10.9368023497849,-3.86727839269449,17.0315224517714,-3586.09841527726,-3855.62058845443,819.593149068895,-4552.01375549687,-93.5774172327129,104.249676094544,-696.408516629195,-338.254250555581
linear,Close Hand,Extend Hand,93.1473976827979,4.81484160672578,12.8618685356943,-4.48765531756312,11.7312716963987,-2381.06713976088,-4397.42382778629,1191.33976384537,-3282.30597327158,-81.4017393114348,1.57936411543618,-950.288265306986,-246.958910803347
linear,Flex Hand,Extend Hand,-0.395401564481681,4.44332290481149,13.344797479562,-9.24519983862803,13.8395607961798,-3442.60233923147,-4565.5710947067,3155.02410270772,-3680.23098912404,-84.8826429597207,405.414471492984,-2581.82024216781,-273.214590241238
linear,Pronation,Extend Hand,68.1319951949616,5.7490807425095,14.1421083214358,-1.03811383120653,0.376935649035945,-2280.34164860299,-4988.85519241372,1195.51060951617,-784.412892950471,-55.0703352263731,182.046292348904,-1874.24838304533,-95.2283717094469
linear,Supination,Extend Hand,94.2866634822652,0.817425403585609,6.29130124582691,-2.85958527659838,5.25509568499371,-1420.21905679915,-2204.02659668252,1038.47433683993,-1693.38007100133,-84.7234457011114,43.4581141684905,-1119.39368829496,-114.72851104139
linear,Side Grip,Extend Hand,102.869159194869,5.08072857550633,12.23098080432,-1.94846112460596,5.30478270691338,-2546.68406793382,-4154.99631832129,852.643052385383,-1633.22510271576,-106.426042179671,132.601016697628,-1167.01341649623,88.5693917304829
linear,Fine Grip,Extend Hand,99.1319193574893,4.69020328021441,10.2115869803877,-1.98222097103783,5.89242216045283,-2786.64479588762,-3316.30489112409,829.22133280714,-1828.59146856696,-133.690976509309,-30.1856165073045,-476.804894529278,3.74717126562164
linear,Agree,Extend Hand,93.5892194610273,7.05198411690582,12.8045951350147,-1.42114657851977,7.20155762392608,-2899.2126530083,-4219.08616520955,696.204918754642,-2247.66843296464,-106.119696023375,166.528545449154,131.951691640188,128.070896608411
linear,Pointer,Extend Hand,84.598073636745,5.8481916455986,12.1620260833627,-1.13014733671319,9.64298851659229,-2982.76982351733,-3875.79760697822,681.960236725451,-3027.11215685997,-4.29906293816754,171.620154768012,499.378732086172,-10.8802921326422
linear,Open Hand,Pronation,16.9382162718813,2.35625627754227,-3.20530597165086,-2.82916456148797,16.6545868027354,-1305.75676667426,1133.23460395928,-375.917460447275,-3767.6008625464,-38.5070820063398,-77.7966162543602,1177.83986641614,-243.025878846134
linear,Close Hand,Pronation,25.0154024878363,-0.934239135783736,-1.28023978574144,-3.4495414863566,11.3543360473628,-100.725491157884,591.431364627421,-4.17084567079895,-2497.89308032111,-26.3314040850617,-180.466928233468,923.960117738347,-151.7305390939
linear,Flex Hand,Pronation,-68.5273967594433,-1.30575783769802,-0.797310841873804,-8.20708600742151,13.4626251471438,-1162.26069062848,423.284097707013,1959.51349319155,-2895.81809617355,-29.8123077333475,223.36817914408,-707.571859122476,-177.986218531791
linear,Extend Hand,Pronation,-68.1319951949616,-5.7490807425095,-14.1421083214358,1.03811383120653,-0.376935649035945,2280.34164860299,4988.85519241372,-1195.51060951617,784.412892950471,55.0703352263731,-182.046292348904,1874.24838304533,95.2283717094469
linear,Supination,Pronation,26.1546682873036,-4.9316553389239,-7.85080707560888,-1.82147144539186,4.87816003595775,860.122591803846,2784.82859573119,-157.036272676242,-908.967178050859,-29.6531104747383,-138.588178180413,754.854694750368,-19.5001393319437
linear,Side Grip,Pronation,34.7371639999073,-0.668352167003175,-1.91112751711582,-0.910347293399438,4.92784705787742,-266.342419330829,833.858874092422,-342.867557130787,-848.812209765282,-51.3557069532979,-49.4452756512755,707.234966549104,183.79776343993
linear,Fine Grip,Pronation,30.9999241625277,-1.0588774622951,-3.93052134104811,-0.944107139831315,5.51548651141688,-506.303147284625,1672.55030128963,-366.289276709029,-1044.17857561649,-78.6206412829357,-212.231908856208,1397.44348851605,98.9755429750684
linear,Agree,Pronation,25.4572242660657,1.3029033743963,-1.33751318642106,-0.383032747313241,6.8246219748901,-618.871004405303,769.769027204164,-499.305690761532,-1463.25554001416,-51.0493607970013,-15.5177468997497,2006.20007468552,223.299268317858
linear,Pointer,Pronation,16.4660784417834,0.0991109030890874,-1.98008223807305,-0.0920335055066672,9.26605286755633,-702.428174914338,1113.05758543549,-513.55037279072,-2242.69926390949,50.7712722882056,-10.4261375808915,2373.6271151315,84.3480795768045
linear,Open Hand,Supination,-9.2164520154224,7.28791161646616,4.64550110395802,-1.00769311609612,11.7764267667777,-2165.87935847811,-1651.59399177191,-218.88118777103,-2858.63368449555,-8.85397153160155,60.791561926053,422.98517166577,-223.52573951419
linear,Close Hand,Supination,-1.13926579946728,3.99741620314016,6.57056728986743,-1.62807004096474,6.476176011405,-960.848082961729,-2193.39723110377,152.865427005443,-1588.92590227025,3.32170638967662,-41.8787500530544,169.105422987979,-132.230399761957
linear,Flex Hand,Supination,-94.6820650467469,3.62589750122588,7.05349623373507,-6.38561456202966,8.58446511118608,-2022.38328243232,-2361.54449802417,2116.5497658678,-1986.85091812271,-0.15919725860928,361.956357324493,-1462.42655387284,-158.486079199847
linear,Extend Hand,Supination,-94.2866634822652,-0.817425403585609,-6.29130124582691,2.85958527659838,-5.25509568499371,1420.21905679915,2204.02659668252,-1038.47433683993,1693.38007100133,84.7234457011114,-43.4581141684905,1119.39368829496,114.72851104139
linear,Pronation,Supination,-26.1546682873036,4.9316553389239,7.85080707560888,1.82147144539186,-4.87816003595775,-860.122591803846,-2784.82859573119,157.036272676242,908.967178050859,29.6531104747383,138.588178180413,-754.854694750368,19.5001393319437
linear,Side Grip,Supination,8.58249571260362,4.26330317192072,5.93967955849305,0.91112415199243,0.0496870219196647,-1126.46501113467,-1950.96972163876,-185.831284454546,60.1549682855786,-21.7025964785596,89.1429025291376,-47.6197282012643,203.297902771873
linear,Fine Grip,Supination,4.84525587522407,3.87277787662879,3.92028573456077,0.877364305560555,0.63732647545912,-1366.42573908847,-1112.27829444156,-209.253004032789,-135.211397565625,-48.9675308081973,-73.6437306757951,642.588793765687,118.475682307012
linear,Agree,Supination,-0.697444021237889,6.23455871332019,6.5132938891878,1.43843869807862,1.94646193893236,-1478.99359620915,-2015.05956852702,-342.269418085289,-554.288361963307,-21.3962503222631,123.070431280663,1251.34537993515,242.799407649802
linear,Pointer,Supination,-9.68858984552022,5.03076624201298,5.87072483753582,1.72943793988519,4.38789283159858,-1562.55076671818,-1671.7710102957,-356.514100114478,-1333.73208585863,80.4243827629439,128.162040599522,1618.77242038114,103.848218908748
linear,Open Hand,Side Grip,-17.798947728026,3.02460844454545,-1.29417845453504,-1.91881726808855,11.726739744858,-1039.41434734344,299.375729866859,-33.0499033164837,-2918.78865278113,12.848624946958,-28.3513406030846,470.604899867035,-426.823642286063
linear,Close Hand,Side Grip,-9.72176151207091,-0.265886968780556,0.630887731374379,-2.53919419295717,6.42648898948535,165.616928172944,-242.427509465002,338.696711459989,-1649.08087055583,25.0243028682362,-131.021652582192,216.725151189244,-335.52830253383
linear,Flex Hand,Side Grip,-103.264560759351,-0.637405670694839,1.11381667524201,-7.29673871402211,8.53477808926644,-895.918271297652,-410.574776385409,2302.38105032235,-2047.00588640829,21.5433992199502,272.813454795356,-1414.80682567158,-361.78398197172
linear,Extend Hand,Side Grip,-102.869159194869,-5.08072857550633,-12.23098080432,1.94846112460596,-5.30478270691338,2546.68406793382,4154.99631832129,-852.643052385383,1633.22510271576,106.426042179671,-132.601016697628,1167.01341649623,-88.5693917304829
linear,Pronation,Side Grip,-34.7371639999073,0.668352167003175,1.91112751711582,0.910347293399438,-4.92784705787742,266.342419330829,-833.858874092422,342.867557130787,848.812209765282,51.3557069532979,49.4452756512755,-707.234966549104,-183.79776343993
linear,Supination,Side Grip,-8.58249571260362,-4.26330317192072,-5.93967955849305,-0.91112415199243,-0.0496870219196647,1126.46501113467,1950.96972163876,185.831284454546,-60.1549682855786,21.7025964785596,-89.1429025291376,47.6197282012643,-203.297902771873
linear,Fine Grip,Side Grip,-3.73723983737955,-0.390525295291926,-2.01939382393228,-0.0337598464318752,0.587639453539453,-239.960727953796,838.691427197203,-23.4217195782425,-195.366365851203,-27.2649343296377,-162.786633204933,690.208521966951,-84.8222204648613
linear,Agree,Side Grip,-9.27993973384151,1.97125554139948,0.573614330694756,0.527314546086191,1.8967749170127,-352.528585074474,-64.0898468882584,-156.438133630743,-614.443330248885,0.306346156296517,33.9275287515258,1298.96510813642,39.5015048779282
linear,Pointer,Side Grip,-18.2710855581238,0.767463070092264,-0.0689547209572294,0.818313787892767,4.33820580967891,-436.08575558351,279.198711343068,-170.682815659932,-1393.88705414421,102.126979241503,39.0191380703841,1666.3921485824,-99.4496838631251
linear,Open Hand,Fine Grip,-14.0617078906465,3.41513373983737,0.725215369397247,-1.88505742165667,11.1391002913186,-799.453619389639,-539.315697330346,-9.62818373824226,-2723.42228692993,40.1135592765958,134.435292601848,-219.603622099916,-342.001421821202
linear,Close Hand,Fine Grip,-5.98452167469136,0.124638326511366,2.65028155530666,-2.50543434652529,5.8388495359459,405.577656126741,-1081.11893666221,362.118431038232,-1453.71450470462,52.2892371978739,31.7649806227407,-473.483370777707,-250.706082068969
linear,Flex Hand,Fine Grip,-99.527320921971,-0.246880375402913,3.1332104991743,-7.26297886759022,7.94713863572695,-655.957543343855,-1249.26620358261,2325.80276990059,-1851.63952055708,48.8083335495881,435.600088000288,-2105.01534763853,-276.961761506859
linear,Extend Hand,Fine Grip,-99.1319193574893,-4.69020328021441,-10.2115869803877,1.98222097103783,-5.89242216045283,2786.64479588762,3316.30489112409,-829.22133280714,1828.59146856696,133.690976509309,30.1856165073045,476.804894529278,-3.74717126562164
linear,Pronation,Fine Grip,-30.9999241625277,1.0588774622951,3.93052134104811,0.944107139831315,-5.51548651141688,506.303147284625,-1672.55030128963,366.289276709029,1044.17857561649,78.6206412829357,212.231908856208,-1397.44348851605,-98.9755429750684
linear,Supination,Fine Grip,-4.84525587522407,-3.87277787662879,-3.92028573456077,-0.877364305560555,-0.63732647545912,1366.42573908847,1112.27829444156,209.253004032789,135.211397565625,48.9675308081973,73.6437306757951,-642.588793765687,-118.475682307012
linear,Side Grip,Fine Grip,3.73723983737955,0.390525295291926,2.01939382393228,0.0337598464318752,-0.587639453539453,239.960727953796,-838.691427197203,23.4217195782425,195.366365851203,27.2649343296377,162.786633204933,-690.208521966951,84.8222204648613
linear,Agree,Fine Grip,-5.54269989646195,2.3617808366914,2.59300815462704,0.561074392518065,1.30913546347325,-112.567857120677,-902.781274085462,-133.0164140525,-419.076964397682,27.5712804859343,196.714161956458,608.756586169467,124.323725342789
linear,Pointer,Fine Grip,-14.5338457207443,1.15798836538419,1.95043910297505,0.852073634324642,3.75056635613946,-196.125027629713,-559.492715854136,-147.26109608169,-1198.52068829301,129.391913571141,201.805771275317,976.18362661545,-14.6274633982639
linear,Open Hand,Agree,-8.51900799418451,1.05335290314597,-1.86779278522979,-2.44613181417473,9.82996482784531,-686.885762268962,363.465576755116,123.388230314258,-2304.34532253224,12.5422787906615,-62.2788693546104,-828.360208269383,-466.325147163992
linear,Close Hand,Agree,-0.441821778229401,-2.23714251018004,0.0572734006796228,-3.06650873904336,4.52971407247264,518.145513247418,-178.337662576744,495.134845090732,-1034.63754030694,24.7179567119397,-164.949181333718,-1082.23995694717,-375.029807411758
linear,Flex Hand,Agree,-93.984621025509,-2.60866121209432,0.540202344547259,-7.82405326010826,6.6380031722537,-543.389686223177,-346.484929497151,2458.81918395308,-1432.56255615939,21.2370530636538,238.88592604383,-2713.771933808,-401.285486849649
linear,Extend Hand,Agree,-93.5892194610273,-7.05198411690582,-12.8045951350147,1.42114657851977,-7.20155762392608,2899.2126530083,4219.08616520955,-696.204918754642,2247.66843296464,106.119696023375,-166.528545449154,-131.951691640188,-128.070896608411
linear,Pronation,Agree,-25.4572242660657,-1.3029033743963,1.33751318642106,0.383032747313241,-6.8246219748901,618.871004405303,-769.769027204164,499.305690761532,1463.25554001416,51.0493607970013,15.5177468997497,-2006.20007468552,-223.299268317858
linear,Supination,Agree,0.697444021237889,-6.23455871332019,-6.5132938891878,-1.43843869807862,-1.94646193893236,1478.99359620915,2015.05956852702,342.269418085289,554.288361963307,21.3962503222631,-123.070431280663,-1251.34537993515,-242.799407649802
linear,Side Grip,Agree,9.27993973384151,-1.97125554139948,-0.573614330694756,-0.527314546086191,-1.8967749170127,352.528585074474,64.0898468882584,156.438133630743,614.443330248885,-0.306346156296517,-33.9275287515258,-1298.96510813642,-39.5015048779282
linear,Fine Grip,Agree,5.54269989646195,-2.3617808366914,-2.59300815462704,-0.561074392518065,-1.30913546347325,112.567857120677,902.781274085462,133.0164140525,419.076964397682,-27.5712804859343,-196.714161956458,-608.756586169467,-124.323725342789
linear,Pointer,Agree,-8.99114582428232,-1.20379247130721,-0.642569051651984,0.290999241806574,2.44143089266621,-83.5571705090361,343.288558231326,-14.2446820291883,-779.443723895326,101.820633085207,5.09160931885828,367.427040445983,-138.951188741053
linear,Open Hand,Pointer,0.472137830097823,2.25714537445318,-1.22522373357781,-2.73713105598131,7.3885339351791,-603.328591759925,20.1770185237906,137.632912343447,-1524.90159863691,-89.2783542945454,-67.3704786734687,-1195.78724871537,-327.373958422938
linear,Close Hand,Pointer,8.54932404605292,-1.03335003887282,0.699842452331605,-3.35750798084993,2.08828317980642,601.702683756454,-521.626220808069,509.37952711992,-255.193816411612,-77.1026763732673,-170.040790652576,-1449.66699739316,-236.078618670705
linear,Flex Hand,Pointer,-84.9934752012267,-1.4048687407871,1.18277139619925,-8.11505250191487,4.19657227958746,-459.832515714142,-689.773487728479,2473.06386598228,-653.11883226406,-80.5835800215531,233.794316724972,-3081.19897425398,-262.334298108596
linear,Extend Hand,Pointer,-84.598073636745,-5.8481916455986,-12.1620260833627,1.13014733671319,-9.64298851659229,2982.76982351733,3875.79760697822,-681.960236725451,3027.11215685997,4.29906293816754,-171.620154768012,-499.378732086172,10.8802921326422
linear,Pronation,Pointer,-16.4660784417834,-0.0991109030890874,1.98008223807305,0.0920335055066672,-9.26605286755633,702.428174914338,-1113.05758543549,513.55037279072,2242.69926390949,-50.7712722882056,10.4261375808915,-2373.6271151315,-84.3480795768045
linear,Supination,Pointer,9.68858984552022,-5.03076624201298,-5.87072483753582,-1.72943793988519,-4.38789283159858,1562.55076671818,1671.7710102957,356.514100114478,1333.73208585863,-80.4243827629439,-128.162040599522,-1618.77242038114,-103.848218908748
linear,Side Grip,Pointer,18.2710855581238,-0.767463070092264,0.0689547209572294,-0.818313787892767,-4.33820580967891,436.08575558351,-279.198711343068,170.682815659932,1393.88705414421,-102.126979241503,-39.0191380703841,-1666.3921485824,99.4496838631251
linear,Fine Grip,Pointer,14.5338457207443,-1.15798836538419,-1.95043910297505,-0.852073634324642,-3.75056635613946,196.125027629713,559.492715854136,147.26109608169,1198.52068829301,-129.391913571141,-201.805771275317,-976.18362661545,14.6274633982639
linear,Agree,Pointer,8.99114582428232,1.20379247130721,0.642569051651984,-0.290999241806574,-2.44143089266621,83.5571705090361,-343.288558231326,14.2446820291883,779.443723895326,-101.820633085207,-5.09160931885828,-367.427040445983,138.951188741053